Study_number,Site_ID,Latitude,Longitude,R,p_R,Q,p_Q,Ts_mean,Q10_Rs,obs,Q_Rh,p_Q_Rh,Q10_Rh,obs_Rh,Q_Ra,p_Q_Ra,Q10_Ra,obs_Ra,IGBP,Ecosystem,IGBP_group,barren_yn,ClimateTypes,MiddleClimate,Ecosystem2,warner_rs,Q10_diff,IGBP_FromPaper,
17,GB-ROT,52.25,-0.25,0.640931782,4.00E-04,0.078378799,2.00E-04,NA,2.189751322,22,0.074237225,0.001,2.100913498,22,0.091354117,6.00E-04,2.49313553,22,CRO,Agriculture,CRO,0,Cfb,Cf,Agriculture,386.0225869,0.392222032,CRO,
114,JP-NAR,35.25,135.25,0.983942509,0,0.07525533,0,13.13333333,2.122412255,36,0.070574469,0,2.025354393,36,0.087611323,0,2.401547281,36,EBF,Forest,MF,0,Cfa,Cf,T&B FOR,455.3703966,0.376192888,EBF,
243,JP-NAR-BEECH,3,102.5,0.74488732,0,0.087842442,0,15.10555556,2.407104144,24,0.084475061,0,2.32739731,24,0.096618426,0,2.627897923,24,ENF,NA,NA,NA,NA,NA,NA,NA,0.300500613,ENF,
243,MY-TRF,3.25,102.75,0.561501928,0.1729,0.078504409,0.0158,15.10555556,2.192503612,12,0.061950627,0.0777,1.858010457,12,0.133740128,0.013,3.809131761,12,ENF,Forest,EF,0,Af,A,Tropic FOR,833.1081327,1.951121304,ENF,
313,US-TOR-CK,36.25,-84.25,0.551450652,1.00E-04,0.042803298,3.00E-04,14.1573913,1.534236684,23,0.081077821,0,2.249658011,23,0.039878478,0.001,1.490012899,23,DBF,Forest,DF,0,Cfa,Cf,T&B FOR,475.1225685,-0.759645113,DBF,
316,JP-FUC-CK,34.75,132.75,0.868732837,0,0.089792157,0,13.71944444,2.454496304,36,0.058746561,0,1.799422189,36,0.134738876,0,3.847366019,36,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,425.507015,2.04794383,ENF,
594,AU-SRT,-36.25,145.25,0.291446106,0,0.088465314,0,21.31714286,2.422144108,7,0.118333273,0,3.265238243,7,0.028497858,0,1.329733541,7,CRO,Grassland,GRA,0,Cfa,Cf,Grassland,431.9577636,-1.935504702,CRO,
924,DE-LOS-CK,51.75,9.75,0.355137536,0,0.131571281,0,12.42107143,3.72740697,28,0.089589478,0,2.449526601,28,0.187246447,0,6.504306343,28,DBF,Agriculture,CRO,0,Cfb,Cf,Agriculture,397.2496424,4.054779742,DBF,
961,IN-KAI,29.75,79.75,0.192766645,0.0416,0.067120859,0.0109,17.0325,1.956600621,12,0.069686131,0.0148,2.007442072,12,0.060948689,0.0037,1.839487296,12,GRA,Grassland,GRA,0,Cwa,Cw,Grassland,442.3047204,-0.167954777,GRA,
1093,JP-YOS,34.25,132.25,1.416059134,0,0.064234056,0,8.0925,1.900924906,20,0.071155086,0,2.037148144,20,0.053076558,1.00E-04,1.700233478,20,DBF,Forest,DBF,0,Cfa,Cf,T&B FOR,426.0669747,-0.336914666,DBF,
1343,RU-PUS-GRA2,55.25,37.75,0.576465651,0.0024,0.066514801,0.0021,8.692272727,1.944778356,22,0.062079869,1.00E-04,1.860413341,22,0.071372684,0.0475,2.041585763,22,DBF,Agriculture,CRO,0,Dfb,Df,Agriculture,329.9157196,0.181172422,DBF,
1397,CA-SAS-CCCUT,54.25,-104.25,0.675799771,5.00E-04,0.081019514,1.00E-04,16.03882353,2.248346678,9,0.072313727,0,2.060888651,9,0.097740384,0.0154,2.657547858,9,ENF,Agriculture,CRO,0,Dfc,Df,Agriculture,289.7111652,0.596659207,ENF,
1397,CA-SAS-OJPA,54.25,-104.25,0.828925484,0,0.091300614,0,16.03882353,2.491801987,8,0.119896938,0.0072,3.316696917,8,0.085280449,0,2.346217575,8,ENF,Agriculture,CRO,0,Dfc,Df,Agriculture,289.7111652,-0.970479342,ENF,
1438,FR-HEF,48.75,7.25,0.480977794,2.00E-04,0.110337618,0,11.23882353,3.014325783,34,0.091642599,0,2.500338171,17,0.183448931,1.00E-04,6.26193544,17,DBF,Agriculture,CRO,0,Cfb,Cf,Agriculture,405.1805352,3.761597269,DBF,
1639,US-SET-CK,34.75,-78.75,0.815359901,0.0542,0.0692497,0.0041,18.2225,1.998700064,12,0.075598986,0.0119,2.129718596,12,0.048943263,0,1.631390353,12,WSA,Savanna,GRA,0,Cfa,Cf,Savanna,565.2763415,-0.498328243,ENF,
1665,JP-KFR-CK,33.25,130.75,0.54114157,0.001,0.059982688,1.00E-04,16.64583333,1.821803391,12,0.051796078,0.0194,1.678601126,12,0.067964834,0,1.973183713,12,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,409.5033491,0.294582588,ENF,
