"","X.1","Study_number","Site_ID","Latitude","Longitude","R","p_R","Q","p_Q","Ts_mean","Q10_Rs","obs","Q_Rh","p_Q_Rh","Q10_Rh","obs_Rh","Q_Ra","p_Q_Ra","Q10_Ra","obs_Ra","IGBP","Ecosystem","IGBP_group","barren_yn","ClimateTypes","MiddleClimate","Ecosystem2","warner_rs","Q10_diff","IGBP_FromPaper","X","ID","CLY","SLT","CEC","PHIKCL","BD","ORC","prec_mean","temp_mean","ai_resampled","et0_resampled","AGB","BGB","GPP","EVI","N_DEC","AM","EcM","ErM","NM","clay_temp_ratio","cec_clay_ratio","clay_silt_sum","Qa_Qh","elev_avg","nitrogen_avg","pred_avg","MAOC","POC","Qa.Qh","cec_clay_rati","C_N_rati","ALd","ALo","ALp","Fed","Feo","Fep","OC_Fe"
"1",1,17,"GB-ROT",52.25,-0.25,0.640931782,4e-04,0.078378799,2e-04,NA,2.189751322,22,0.074237225,0.001,2.100913498,22,0.091354117,6e-04,2.49313553,22,"CRO","Agriculture","CRO",0,"Cfb","Cf","Agriculture",386.0225869,0.392222032,"CRO","",1,18,25,21,56,1135,38,558,1172,7341.238281,794.246826171875,38,1177,2702.498047,3340.64697265625,1.45829367637634,70,0,0,30,0.015358361774744,1.16666666666667,43,1.1866911857025,37.9999084472656,301.590057373047,28.8487778872609,11.37803885,1.857669885,1.1866911857025,1.16666666666667,0.125998848672244,NA,NA,NA,NA,NA,NA,NA
"2",2,114,"JP-NAR",35.25,135.25,0.983942509,0,0.07525533,0,13.13333333,2.122412255,36,0.070574469,0,2.025354393,36,0.087611323,0,2.401547281,36,"EBF","Forest","MF",0,"Cfa","Cf","T&B FOR",455.3703966,0.376192888,"EBF","",2,24,41,23,41,1136,54,1736,1687,14395.14063,1149.31994628906,54,1115,4568.142578,3767.99975585938,1.08912110328674,20,78,1,1,0.014226437462952,0.958333333333333,65,1.18574175922011,109.737312316895,528.969055175781,136.313176813107,13.12998981,4.909584904,1.18574175922011,0.958333333333333,0.102085366755632,8.4843921661377,8.21013164520264,3.18578672409058,27.9897575378418,5.20700883865356,2.8551778793335,3.91972780227661
"3",3,243,"JP-NAR-BEECH",3,102.5,0.74488732,0,0.087842442,0,15.10555556,2.407104144,24,0.084475061,0,2.32739731,24,0.096618426,0,2.627897923,24,"ENF",NA,NA,NA,NA,NA,NA,NA,0.300500613,"ENF","",3,35,24,14,42,1111,35,1993,3169,13630.9462890625,1465.25183105469,41,1160,6762.7861328125,5207.84375,0.890320897102356,80,10,0,10,0.0110444935310824,0.4,59,1.12911444544034,52.7486991882324,180.625076293945,54.3860851962306,8.420096182,3.110103079,1.12911444544034,0.4,0.193771544450682,10.1639003753662,9.82816696166992,1.86168050765991,36.1547660827637,3.20745635032654,3.8254828453064,4.07228994369507
"4",4,243,"MY-TRF",3.25,102.75,0.561501928,0.1729,0.078504409,0.0158,15.10555556,2.192503612,12,0.061950627,0.0777,1.858010457,12,0.133740128,0.013,3.809131761,12,"ENF","Forest","EF",0,"Af","A","Tropic FOR",833.1081327,1.951121304,"ENF","",4,29,25,13,39,1039,146,2166,3087,14996.5263671875,1428.9326171875,54,1136,7076.45068359375,4900.94091796875,0.825891733169556,75,20,4,1,0.0093942338840298,0.448275862068966,54,2.0501131985825,102.773765563965,210.255065917969,83.4333148693263,8.420096182,3.110103079,2.0501131985825,0.448275862068966,0.694394683726489,13.5259399414062,11.9087429046631,3.43056964874268,30.5507698059082,3.40582752227783,4.32135152816772,4.14501094818115
"5",5,313,"US-TOR-CK",36.25,-84.25,0.551450652,1e-04,0.042803298,3e-04,14.1573913,1.534236684,23,0.081077821,0,2.249658011,23,0.039878478,0.001,1.490012899,23,"DBF","Forest","DF",0,"Cfa","Cf","T&B FOR",475.1225685,-0.759645113,"DBF","",5,20,43,24,40,1115,59,1424,1450,10895.6142578125,1233.07800292969,40,1100,3764.97387695312,4043.84301757812,1.20925986766815,20,78,1,1,0.0137931034482759,1.2,63,0.662328625824185,837.548217773438,269.887237548828,110.225911019978,13.27211148,4.756398709,0.662328625824185,1.2,0.218609818440658,7.56858110427856,6.52553939819336,2.023193359375,24.1898746490479,3.57289123535156,2.06402730941772,4.24334526062012
"6",6,316,"JP-FUC-CK",34.75,132.75,0.868732837,0,0.089792157,0,13.71944444,2.454496304,36,0.058746561,0,1.799422189,36,0.134738876,0,3.847366019,36,"ENF","Forest","MF",0,"Cfa","Cf","T&B FOR",425.507015,2.04794383,"ENF","",6,20,39,17,42,1173,52,1650,1565,15021.8447265625,1147.623047,44,1164,4373.7275390625,3545.53784179688,1.07060861587524,20,78,1,1,0.012779552715655,0.85,59,2.13811191310146,318.26220703125,232.364196777344,51.2128752582057,14.47800473,5.724680823,2.13811191310146,0.85,0.223786627721428,7.02759122848511,6.26477909088135,2.85691666603088,30.1547088623047,4.17273283004761,1.72807693481445,3.5493597984314
"7",7,594,"AU-SRT",-36.25,145.25,0.291446106,0,0.088465314,0,21.31714286,2.422144108,7,0.118333273,0,3.265238243,7,0.028497858,0,1.329733541,7,"CRO","Grassland","GRA",0,"Cfa","Cf","Grassland",431.9577636,-1.935504702,"CRO","",7,24,18,20,56,1316,21,499,1849,2873.05981445312,1684.68041992188,20,1326,2256.25610351562,3178.08764648438,0.257435113191605,30,0,0,70,0.0129799891833423,0.833333333333333,42,0.407239362656209,107.24934387207,183.787292480469,23.2704661813027,7.113568164,2.037874308,0.407239362656209,0.833333333333333,0.114262524446469,3.29260969161987,2.66184067726135,1.94458591938019,20.5521011352539,2.9678897857666,0.904135167598724,0.993705034255981
"8",8,924,"DE-LOS-CK",51.75,9.75,0.355137536,0,0.131571281,0,12.42107143,3.72740697,28,0.089589478,0,2.449526601,28,0.187246447,0,6.504306343,28,"DBF","Agriculture","CRO",0,"Cfb","Cf","Agriculture",397.2496424,4.054779742,"DBF","",8,16,49,23,44,949,69,787,958,10945.02734,786.437805175781,38,1050,3287.2021484375,3622.62231445312,1.81770026683807,5,89,5,1,0.0167014613778706,1.4375,65,2.65533198959532,386.002044677734,313.478851318359,148.110781338808,11.31246079,1.840600108,2.65533198959532,1.4375,0.220110542417184,7.51059913635254,6.73737907409668,3.46939182281494,15.3148021697998,5.08075904846191,3.28417563438416,5.87176704406738
"9",9,961,"IN-KAI",29.75,79.75,0.192766645,0.0416,0.067120859,0.0109,17.0325,1.956600621,12,0.069686131,0.0148,2.007442072,12,0.060948689,0.0037,1.839487296,12,"GRA","Grassland","GRA",0,"Cwa","Cw","Grassland",442.3047204,-0.167954777,"GRA","",9,27,36,21,50,1248,29,1546,1908,10977.8134765625,1603.82299804688,31,1274,3719.12475585938,3022.33154296875,1.21660220623016,25,69,5,1,0.0141509433962264,0.777777777777778,63,0.916333936434506,1329.67749023438,341.1220703,49.1908677361126,11.48449639,2.275379437,0.916333936434506,0.777777777777778,0.0850135553335299,13.751482963562,6.44531154632568,3.75944781303406,56.7099494934082,4.51395702362061,3.51451444625854,3.6695122718811
"10",10,1093,"JP-YOS",34.25,132.25,1.416059134,0,0.064234056,0,8.0925,1.900924906,20,0.071155086,0,2.037148144,20,0.053076558,1e-04,1.700233478,20,"DBF","Forest","DBF",0,"Cfa","Cf","T&B FOR",426.0669747,-0.336914666,"DBF","",10,NA,NA,NA,NA,NA,NA,1775,1716,9828.550781,NA,NA,NA,4891.2607421875,3440.96826171875,0.863323748111725,NA,NA,NA,NA,NA,NA,NA,0.834614548287854,222.068939208984,227.598983764648,53.3098386946139,14.47800473,5.724680823,0.834614548287854,NA,NA,NA,NA,NA,NA,NA,NA,NA
